POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
91 91 MT. INDUSTRY HEALTH CENTRE,38,75,,,,2,115,48.94%,235,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
92 92 GRATEFULL HILL PRIMARY SCHOOL,96,21,,,,2,119,47.79%,249,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
93 93 GRATEFULL HILL PRIMARY SCHOOL,102,49,,,,0,151,55.93%,270,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
94 94 GRATEFULL HILL PRIMARY SCHOOL,85,84,,,,4,173,46.88%,369,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
95 95 GRATEFULL HILL PRIMARY SCHOOL,62,63,,,,1,126,52.72%,239,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
96 96 GRATEFULL HILL PRIMARY SCHOOL,129,64,,,,2,195,57.35%,340,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
97 97 GLENGOFFE HEALTH CENTRE,58,72,,,,3,133,54.73%,243,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
98 98 CASSAVA RIVER INFANT & PRIMARY SCHOOL,35,46,,,,0,81,48.80%,166,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
99 99 CASSAVA RIVER INFANT & PRIMARY SCHOOL,95,75,,,,1,171,50.59%,338,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
100 100 GLENGOFFE HEALTH CENTRE,53,90,,,,3,146,52.90%,276,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
101 101 CASSAVA RIVER INFANT & PRIMARY SCHOOL,18,64,,,,1,83,50.30%,165,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
102 102 LUCKY VALLEY PRIMARY SCHOOL,43,46,,,,0,89,51.15%,174,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
103 103 LUCKY VALLEY PRIMARY SCHOOL,90,46,,,,0,136,50.37%,270,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
104 104 LUCKY VALLEY PRIMARY SCHOOL,40,65,,,,0,105,37.91%,277,ST. CATHERINE NORTH EASTERN (60),MOUNT INDUSTRY (31),
,,,,,,,,,,,,
POLLING STATION LOCATION,PNP Daley Joyce Denise,JLP Peccoo Dwight,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 CAYMANAS BASIC SCHOOL,66,26,,,,2,94,50.54%,186,ST. CATHERINE EASTERN (61),GREENDALE (32),
2 2A WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,124,10,,,,3,137,54.80%,250,ST. CATHERINE EASTERN (61),GREENDALE (32),
2 2B WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,110,1,,,,0,111,44.40%,250,ST. CATHERINE EASTERN (61),GREENDALE (32),
3 3A WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,116,4,,,,3,123,51.25%,240,ST. CATHERINE EASTERN (61),GREENDALE (32),
3 3B WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,107,8,,,,0,115,47.92%,240,ST. CATHERINE EASTERN (61),GREENDALE (32),
4 4 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,112,6,,,,1,119,54.59%,218,ST. CATHERINE EASTERN (61),GREENDALE (32),
5 5 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,104,6,,,,1,111,50.23%,221,ST. CATHERINE EASTERN (61),GREENDALE (32),
6 6 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,205,4,,,,2,211,60.46%,349,ST. CATHERINE EASTERN (61),GREENDALE (32),
7 7 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,175,19,,,,2,196,56.00%,350,ST. CATHERINE EASTERN (61),GREENDALE (32),
8 8 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,180,11,,,,3,194,51.19%,379,ST. CATHERINE EASTERN (61),GREENDALE (32),
9 9A WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,98,2,,,,3,103,49.05%,210,ST. CATHERINE EASTERN (61),GREENDALE (32),
9 9B WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,97,3,,,,2,102,48.57%,210,ST. CATHERINE EASTERN (61),GREENDALE (32),
10 10A WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,99,1,,,,3,103,49.52%,208,ST. CATHERINE EASTERN (61),GREENDALE (32),
10 10B WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,101,6,,,,2,109,52.40%,208,ST. CATHERINE EASTERN (61),GREENDALE (32),
11 11 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,112,6,,,,1,119,54.59%,218,ST. CATHERINE EASTERN (61),GREENDALE (32),
12 12 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,115,6,,,,2,123,52.56%,234,ST. CATHERINE EASTERN (61),GREENDALE (32),
13 13 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,138,10,,,,2,150,45.45%,330,ST. CATHERINE EASTERN (61),GREENDALE (32),
14 14 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,166,3,,,,2,171,46.72%,366,ST. CATHERINE EASTERN (61),GREENDALE (32),
15 15 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,141,11,,,,6,158,45.66%,346,ST. CATHERINE EASTERN (61),GREENDALE (32),
16 16 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,82,10,,,,1,93,42.27%,220,ST. CATHERINE EASTERN (61),GREENDALE (32),
17 17 WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,128,21,,,,3,152,52.60%,289,ST. CATHERINE EASTERN (61),GREENDALE (32),
18 18A WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,68,21,,,,4,93,45.37%,205,ST. CATHERINE EASTERN (61),GREENDALE (32),
18 18B WHITEMARL PRIMARY AND JUNIOR HIGH SCHOOL,50,19,,,,4,73,35.61%,205,ST. CATHERINE EASTERN (61),GREENDALE (32),
19 19 JOSE MARTI TECHNICAL HIGH SCHOOL,8,153,,,,3,164,47.26%,347,ST. CATHERINE EASTERN (61),GREENDALE (32),
20 20 JOSE MARTI TECHNICAL HIGH SCHOOL,5,126,,,,0,131,44.11%,297,ST. CATHERINE EASTERN (61),GREENDALE (32),
21 21 JOSE MARTI TECHNICAL HIGH SCHOOL,8,127,,,,0,135,47.87%,282,ST. CATHERINE EASTERN (61),GREENDALE (32),
22 22 GREENDALE COMMUNITY CENTRE,50,77,,,,1,128,27.83%,460,ST. CATHERINE EASTERN (61),GREENDALE (32),
23 23 GREENDALE COMMUNITY CENTRE,49,47,,,,2,98,29.52%,332,ST. CATHERINE EASTERN (61),GREENDALE (32),
24 24 GREENDALE COMMUNITY CENTRE,43,67,,,,3,113,33.63%,336,ST. CATHERINE EASTERN (61),GREENDALE (32),
25 25 GREENDALE COMMUNITY CENTRE,20,87,,,,0,107,36.90%,290,ST. CATHERINE EASTERN (61),GREENDALE (32),
26 26 GREENDALE BASIC SCHOOL,88,38,,,,2,128,34.04%,376,ST. CATHERINE EASTERN (61),GREENDALE (32),
27 27 GREENDALE BASIC SCHOOL,14,43,,,,0,57,36.77%,155,ST. CATHERINE EASTERN (61),GREENDALE (32),
28 28 GREENDALE BASIC SCHOOL,23,178,,,,2,203,54.72%,371,ST. CATHERINE EASTERN (61),GREENDALE (32),
29 29 GREENDALE BASIC SCHOOL,24,101,,,,0,125,40.06%,312,ST. CATHERINE EASTERN (61),GREENDALE (32),
30 30 GREENDALE BASIC SCHOOL,19,112,,,,1,132,43.42%,304,ST. CATHERINE EASTERN (61),GREENDALE (32),
31 31 GREENDALE COMMUNITY CENTRE,46,73,,,,2,121,31.76%,381,ST. CATHERINE EASTERN (61),GREENDALE (32),
32 32 GLADES BAPTIST CHURCH 75,75,5,,,,0,80,42.11%,190,ST. CATHERINE EASTERN (61),LAURISTON (33),
33 33 CAYMANAS BAY CHURCH OF GOD OF PROPHECY 113,113,16,,,,3,132,36.67%,360,ST. CATHERINE EASTERN (61),LAURISTON (33),
34 34A WATERLOO GOSPEL HALL CHURCH OF THE FIRST BORN35,35,51,,,,0,86,36.29%,237,ST. CATHERINE EASTERN (61),LAURISTON (33),
34 34B WATERLOO GOSPEL HALL CHURCH OF THE FIRST BORN28,28,59,,,,0,87,36.71%,237,ST. CATHERINE EASTERN (61),LAURISTON (33),
35 35A NEW LIFE CHURCH OF GOD 28,28,29,,,,0,57,26.89%,212,ST. CATHERINE EASTERN (61),LAURISTON (33),
35 35B NEW LIFE CHURCH OF GOD 24,24,29,,,,2,55,25.82%,213,ST. CATHERINE EASTERN (61),LAURISTON (33),
36 36A NEW LIFE CHURCH OF GOD 25,25,41,,,,0,66,30.28%,218,ST. CATHERINE EASTERN (61),LAURISTON (33),
36 36B NEW LIFE CHURCH OF GOD 37,37,24,,,,0,61,27.98%,218,ST. CATHERINE EASTERN (61),LAURISTON (33),
37 37 TREDEGAR PARK ALL AGE SCHOOL 23,23,99,,,,1,123,37.16%,331,ST. CATHERINE EASTERN (61),LAURISTON (33),
38 38A KEYSTONE COMMUNITY CENTRE 44,44,47,,,,1,92,43.40%,212,ST. CATHERINE EASTERN (61),LAURISTON (33),
38 38B KEYSTONE COMMUNITY CENTRE 38,38,60,,,,1,99,46.70%,212,ST. CATHERINE EASTERN (61),LAURISTON (33),
39 39 WATERLOO GOSPEL HALL CHURCH OF THE FIRST BORN46,46,54,,,,1,101,36.59%,276,ST. CATHERINE EASTERN (61),LAURISTON (33),
40 40 KEYSTONE COMMUNITY CENTRE 65,65,58,,,,1,124,36.80%,337,ST. CATHERINE EASTERN (61),LAURISTON (33),
41 41 KEYSTONE COMMUNITY CENTRE 30,30,36,,,,1,67,32.68%,205,ST. CATHERINE EASTERN (61),LAURISTON (33),
42 42 KEYSTONE COMMUNITY CENTRE 16,16,22,,,,0,38,32.76%,116,ST. CATHERINE EASTERN (61),LAURISTON (33),
43 43 HOLINESS TEMPLE BASIC 25,25,43,,,,1,69,35.75%,193,ST. CATHERINE EASTERN (61),LAURISTON (33),
44 44A TRYALL HEIGHTS COMMUNITY CENTRE 46,46,35,,,,0,81,36.49%,222,ST. CATHERINE EASTERN (61),LAURISTON (33),
44 44B TRYALL HEIGHTS COMMUNITY CENTRE 36,36,30,,,,0,66,29.60%,223,ST. CATHERINE EASTERN (61),LAURISTON (33),
45 45 TRYALL HEIGHTS COMMUNITY CENTRE 89,89,43,,,,2,134,34.54%,388,ST. CATHERINE EASTERN (61),LAURISTON (33),
46 46 TRYALL HEIGHTS COMMUNITY CENTRE 83,83,35,,,,1,119,39.02%,305,ST. CATHERINE EASTERN (61),LAURISTON (33),
47 47 TRYALL HEIGHTS COMMUNITY CENTRE 62,62,40,,,,2,104,31.04%,335,ST. CATHERINE EASTERN (61),LAURISTON (33),
48 48 NEW LIFE CHURCH OF GOD 43,43,14,,,,2,59,39.60%,149,ST. CATHERINE EASTERN (61),LAURISTON (33),
49 49 HOLINESS TEMPLE BASIC 99,99,16,,,,1,116,30.93%,375,ST. CATHERINE EASTERN (61),LAURISTON (33),
50 50 HOLINESS TEMPLE BASIC 79,79,17,,,,0,96,38.55%,249,ST. CATHERINE EASTERN (61),LAURISTON (33),
51 51A HOLINESS TEMPLE BASIC 55,55,19,,,,0,74,29.96%,247,ST. CATHERINE EASTERN (61),LAURISTON (33),
51 51B HOLINESS TEMPLE BASIC 48,48,26,,,,0,74,29.84%,248,ST. CATHERINE EASTERN (61),LAURISTON (33),
52 52 TREDEGAR PARK ALL AGE SCHOOL 25,25,107,,,,2,134,45.58%,294,ST. CATHERINE EASTERN (61),LAURISTON (33),
53 53 TREDEGAR PARK ALL AGE SCHOOL 15,15,43,,,,0,58,29.90%,194,ST. CATHERINE EASTERN (61),LAURISTON (33),
54 54 HOLINESS TEMPLE BASIC 101,101,34,,,,1,136,34.34%,396,ST. CATHERINE EASTERN (61),LAURISTON (33),
55 55A HOLINESS TEMPLE BASIC 55,55,10,,,,0,65,32.34%,201,ST. CATHERINE EASTERN (61),LAURISTON (33),
55 55B HOLINESS TEMPLE BASIC 76,76,9,,,,1,86,42.57%,202,ST. CATHERINE EASTERN (61),LAURISTON (33),
56 56 ST. JAGO PREPARATORY SCHOOL,44,8,,,,0,52,31.52%,165,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
57 57 ST. JAGO PREPARATORY SCHOOL,81,10,,,,1,92,42.40%,217,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
58 58 ST. JAGO PREPARATORY SCHOOL,105,6,,,,0,111,48.26%,230,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
59 59 ST. JAGO PREPARATORY SCHOOL,17,12,,,,0,29,24.79%,117,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
60 60 ST. JAGO PREPARATORY SCHOOL,137,13,,,,0,150,38.76%,387,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
61 61 ST. JAGO PREPARATORY SCHOOL,100,5,,,,0,105,43.21%,243,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
62 62 SPANISH TOWN INFIRMARY,10,4,,,,0,14,46.67%,30,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
63 63 ANGLICAN CHURCH HALL,75,6,,,,3,84,35.44%,237,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
64 64 ANGLICAN CHURCH HALL,110,7,,,,0,117,39.53%,296,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
65 65 SPANISH TOWN PRIMARY SCHOOL,131,5,,,,4,140,43.21%,324,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
66 66 SPANISH TOWN PRIMARY SCHOOL,161,8,,,,0,169,49.42%,342,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
67 67 SPANISH TOWN PRIMARY SCHOOL,173,5,,,,6,184,54.28%,339,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
68 68 SPANISH TOWN PRIMARY SCHOOL,66,5,,,,2,73,49.66%,147,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
69 69 SPANISH TOWN PRIMARY SCHOOL,209,8,,,,4,221,56.67%,390,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
70 70 SPANISH TOWN PRIMARY SCHOOL,116,1,,,,1,118,55.92%,211,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
71 71 SPANISH TOWN PRIMARY SCHOOL,86,2,,,,3,91,52.30%,174,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
72 72 SPANISH TOWN PRIMARY SCHOOL,122,2,,,,2,126,49.80%,253,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
73 73 SPANISH TOWN PRIMARY SCHOOL,163,6,,,,2,171,53.27%,321,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
74 74 SPANISH TOWN PRIMARY SCHOOL,96,5,,,,2,103,53.09%,194,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
75 75 SPANISH TOWN PRIMARY SCHOOL,94,0,,,,1,95,49.74%,191,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
76 76 SPANISH TOWN PRIMARY SCHOOL,18,2,,,,0,20,34.48%,58,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
77 77 SPANISH TOWN PRIMARY SCHOOL,120,1,,,,1,122,45.69%,267,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
78 78 SPANISH TOWN PRIMARY SCHOOL,133,5,,,,1,139,49.82%,279,ST. CATHERINE EASTERN (61),DE LA VEGA CITY (34),
79 79A ST. JAGO HEALTH CENTRE,9,84,,,,0,93,45.81%,203,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
79 79B ST. JAGO HEALTH CENTRE,3,96,,,,4,103,50.49%,204,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
80 80 ST. JAGO HEALTH CENTRE,8,153,,,,1,162,50.15%,323,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
81 81 ST. JAGO HEALTH CENTRE,9,118,,,,2,129,42.16%,306,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
82 82 FARMERS TRAINING CENTRE,75,28,,,,0,103,38.58%,267,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
83 83 FARMERS TRAINING CENTRE,66,34,,,,0,100,37.17%,269,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
EPM 84 84 FARMERS TRAINING CENTRE,140,95,,,,2,237,85.56%,277,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
EPM 85 85 FARMERS TRAINING CENTRE,190,91,,,,2,283,166.47%,170,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
86 86A FARMERS TRAINING CENTRE,98,18,,,,2,118,42.75%,276,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
86 86B FARMERS TRAINING CENTRE,105,18,,,,2,125,45.13%,277,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
87 87A JOSE MARTI TECHNICAL HIGH SCHOOL,15,51,,,,1,67,33.33%,201,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
87 87B JOSE MARTI TECHNICAL HIGH SCHOOL,14,63,,,,2,79,39.30%,201,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
88 88 JOSE MARTI TECHNICAL HIGH SCHOOL,8,89,,,,1,98,35.38%,277,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
89 89 JOSE MARTI TECHNICAL HIGH SCHOOL,3,74,,,,1,78,45.35%,172,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
90 90 JOSE MARTI TECHNICAL HIGH SCHOOL,7,142,,,,3,152,44.06%,345,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
91 91 JOSE MARTI TECHNICAL HIGH SCHOOL,4,138,,,,3,145,45.17%,321,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
92 92 JOSE MARTI TECHNICAL HIGH SCHOOL,7,176,,,,0,183,55.12%,332,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
93 93 JOSE MARTI TECHNICAL HIGH SCHOOL,8,170,,,,4,182,50.42%,361,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
94 94 JOSE MARTI TECHNICAL HIGH SCHOOL,13,99,,,,1,113,47.68%,237,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
95 95 JOSE MARTI TECHNICAL HIGH SCHOOL,5,128,,,,0,133,48.19%,276,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
96 96 JOSE MARTI TECHNICAL HIGH SCHOOL,34,139,,,,5,178,45.06%,395,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
97 97 JOSE MARTI TECHNICAL HIGH SCHOOL,7,96,,,,2,105,50.00%,210,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
98 98 JOSE MARTI TECHNICAL HIGH SCHOOL,13,162,,,,3,178,50.28%,354,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
99 99A JOSE MARTI TECHNICAL HIGH SCHOOL,6,119,,,,1,126,57.01%,221,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
99 99B JOSE MARTI TECHNICAL HIGH SCHOOL,3,123,,,,0,126,56.76%,222,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
100 100 JOSE MARTI TECHNICAL HIGH SCHOOL,5,114,,,,2,121,49.59%,244,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
101 101 JOSE MARTI TECHNICAL HIGH SCHOOL,7,132,,,,0,139,57.44%,242,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
102 102 JOSE MARTI TECHNICAL HIGH SCHOOL,5,83,,,,2,90,62.94%,143,ST. CATHERINE EASTERN (61),TWICKENHAM PARK (35),
,,,,,,,,,,,,
POLLING STATION LOCATION,PNP Spence Courtney O.,JLP Wheatley Andrew O'Brien,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 ST CATHERINE HIGH SCHOOL,9,123,,,,4,136,53.13%,256,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
2 2A ST CATHERINE HIGH SCHOOL,2,121,,,,0,123,54.91%,224,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
2 2B ST CATHERINE HIGH SCHOOL,4,110,,,,3,117,52.00%,225,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
3 3 ST CATHERINE HIGH SCHOOL,9,169,,,,2,180,57.14%,315,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
4 4 ST CATHERINE HIGH SCHOOL,17,151,,,,2,170,42.08%,404,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
5 5 CHURCH OF GOD OF PROPHECY,17,96,,,,3,116,39.19%,296,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
6 6 ST JOHNS PRIMARY,39,25,,,,2,66,29.73%,222,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
7 7 ST JOHNS PRIMARY,54,33,,,,2,89,34.23%,260,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
8 8 ST CATHERINE HIGH SCHOOL,21,5,,,,0,26,24.76%,105,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
9 9 ST JOHNS PRIMARY,56,27,,,,0,83,26.77%,310,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
10 10 ST JOHNS PRIMARY,33,33,,,,4,70,25.93%,270,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
11 11 ST JOHNS PRIMARY,23,107,,,,2,132,35.97%,367,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
12 12 ST JOHNS PRIMARY,25,67,,,,1,93,32.52%,286,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
13 13 CHURCH OF GOD OF PROPHECY,28,42,,,,0,70,28.81%,243,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
14 14 CHURCH OF GOD OF PROPHECY,25,81,,,,1,107,36.52%,293,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
15 15 CHURCH OF GOD OF PROPHECY,18,57,,,,2,77,35.98%,214,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
16 16 CHURCH OF GOD OF PROPHECY,14,147,,,,4,165,46.22%,357,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
17 17 HOMESTEAD BASIC SCHOOL,5,144,,,,1,150,41.90%,358,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
18 18 HOMESTEAD BASIC SCHOOL,0,91,,,,2,93,50.82%,183,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
19 19 HOMESTEAD PRIMARY SCHOOL,6,199,,,,2,207,55.20%,375,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
20 20 HOMESTEAD PRIMARY SCHOOL,2,80,,,,1,83,56.08%,148,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
21 21 HOMESTEAD PRIMARY SCHOOL,2,130,,,,0,132,55.70%,237,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
22 22 HOMESTEAD PRIMARY SCHOOL,5,158,,,,2,165,61.11%,270,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
23 23 HOMESTEAD PRIMARY SCHOOL,3,142,,,,2,147,51.22%,287,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
24 24 HOMESTEAD PRIMARY SCHOOL,6,114,,,,1,121,47.83%,253,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
25 25 HOMESTEAD BASIC SCHOOL,6,169,,,,2,177,52.21%,339,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
26 26 TRIUMPHANT CHURCH OF JESUS CHRIST,53,75,,,,1,129,38.39%,336,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
27 27 TRIUMPHANT CHURCH OF JESUS CHRIST,55,48,,,,0,103,31.31%,329,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
28 28 TRIUMPHANT CHURCH OF JESUS CHRIST,27,32,,,,0,59,28.10%,210,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
29 29 TRIUMPHANT CHURCH OF JESUS CHRIST,44,31,,,,0,75,32.05%,234,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
30 30 LEIBA GARDENS COMMUNITY CENTRE,42,63,,,,0,105,32.11%,327,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
31 31A LEIBA GARDENS COMMUNITY CENTRE,23,62,,,,1,86,40.57%,212,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
31 31B LEIBA GARDENS COMMUNITY CENTRE,25,62,,,,0,87,40.85%,213,ST. CATHERINE SOUTH CENTRAL (62),HOMESTEAD (36),
32 32 GRACE BASIC SCHOOL,49,90,,,,1,140,40.70%,344,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
33 33 GRACE BASIC SCHOOL,50,55,,,,0,105,32.71%,321,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
34 34 MELVIN PARK BASIC SCHOOL,22,97,,,,0,119,45.42%,262,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
35 35 INNSWOOD ESTATE HEALTH CENTRE,18,43,,,,0,61,48.80%,125,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
36 36 INNSWOOD VILLAGE COMMUNITY CENTRE,45,101,,,,1,147,35.94%,409,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
37 37A INNSWOOD VILLAGE COMMUNITY CENTRE,45,69,,,,5,119,43.12%,276,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
37 37B INNSWOOD VILLAGE COMMUNITY CENTRE,42,60,,,,0,102,36.82%,277,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
38 38 MELVIN PARK BASIC SCHOOL,45,91,,,,3,139,38.19%,364,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
39 39 MELVIN PARK BASIC SCHOOL,75,53,,,,2,130,42.21%,308,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
40 40 HARTLANDS PRIMARY SCHOOL,90,25,,,,1,116,40.28%,288,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
41 41 HOLY GHOST MINISTRY BASIC,24,172,,,,2,198,53.23%,372,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
42 42A MCCOOK'S SEVENTH DAY ADVENTIST CHURCH,22,106,,,,1,129,58.90%,219,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
42 42B MCCOOK'S SEVENTH DAY ADVENTIST CHURCH,13,121,,,,0,134,60.91%,220,ST. CATHERINE SOUTH CENTRAL (62),SYDENHAM (37),
